Date,Invoice Number,Sales Rep,Location,Status,Client Name,Client ID,Lead Source,Product ID,Product Name,Unit Price,Quantity,Gross Value,Discount,Revenue,VAT Rate,VAT Charged,Invoice Total,COGS per Unit,COGS,Shipping per Unit,Total Shipping,VAT on Shipping,VAT on Shipping Value,Profit,Profit Margin,Operating Profit,Operating Profit Margin,Margin Difference
01/10/2025,859,Mark,Liverpool,Pending,Acme Corporation,C001,Referral,P006,Monitor Stand,£40.00,13,£520.00,4%,£499.20,20%,£99.84,£599.04,£24.00,£312.00,£7.00,£91.00,20%,£18.20,£187.20,37.50%,£96.20,19.30%,18.20%
01/11/2025,59,Lucas,Birmingham,Paid,Stellar Systems,C006,SEO,P003,Network Switch,£130.00,8,"£1,040.00",5%,£988.00,20%,£197.60,"£1,185.60",£72.00,£576.00,£8.00,£64.00,20%,£12.80,£412.00,41.70%,£348.00,35.20%,6.50%
01/11/2025,315,Daniel,Nottingham,Paid,Aurora Enterprises,C010,SEO,P001,Laptop,£220.00,14,"£3,080.00",12%,"£2,710.40",20%,£542.08,"£3,252.48",£140.00,"£1,960.00",£15.00,£210.00,20%,£42.00,£750.40,27.70%,£540.40,19.90%,7.80%
01/12/2025,41,Jack,Bristol,Paid,Planetary Partners,C021,Website,P006,Monitor Stand,£40.00,18,£720.00,3%,£698.40,20%,£139.68,£838.08,£24.00,£432.00,£7.00,£126.00,20%,£25.20,£266.40,38.10%,£140.40,20.10%,18.00%
01/12/2025,107,Daniel,Bristol,Pending,Supernova Solutions,C014,Social Media Outreach,P010,Standing Desk,£530.00,15,"£7,950.00",5%,"£7,552.50",20%,"£1,510.50","£9,063.00",£360.00,"£5,400.00",£60.00,£900.00,20%,£180.00,"£2,152.50",28.50%,"£1,252.50",16.60%,11.90%
01/12/2025,561,Dave,Nottingham,Paid,Acme Corporation,C001,SEO,P007,Keyboard Tray,£25.00,13,£325.00,5%,£308.75,20%,£61.75,£370.50,£14.00,£182.00,£7.00,£91.00,20%,£18.20,£126.75,41.10%,£35.75,11.60%,29.50%
02/01/2025,520,Lisa,Bristol,Paid,Saturn Solutions,C022,Social Media Outreach,P009,Ergonomic Chair,£190.00,11,"£2,090.00",2%,"£2,048.20",20%,£409.64,"£2,457.84",£115.00,"£1,265.00",£45.00,£495.00,20%,£99.00,£783.20,38.20%,£288.20,14.10%,24.10%
02/01/2025,681,Lucas,Nottingham,Paid,Lunar Labs,C012,Referral,P004,Data Storage Device,£70.00,17,"£1,190.00",6%,"£1,118.60",20%,£223.72,"£1,342.32",£30.00,£510.00,£8.00,£136.00,20%,£27.20,£608.60,54.40%,£472.60,42.20%,12.20%
02/01/2025,808,Sarah,Manchester,Shipping,Nova Innovations,C018,Referral,P001,Laptop,£220.00,6,"£1,320.00",3%,"£1,280.40",20%,£256.08,"£1,536.48",£140.00,£840.00,£15.00,£90.00,20%,£18.00,£440.40,34.40%,£350.40,27.40%,7.00%
02/02/2025,404,Alexandra,Bristol,Shipping,Saturn Solutions,C022,SEO,P006,Monitor Stand,£40.00,9,£360.00,2%,£352.80,20%,£70.56,£423.36,£24.00,£216.00,£7.00,£63.00,20%,£12.60,£136.80,38.80%,£73.80,20.90%,17.90%
02/04/2025,542,Mark,Brighton,Shipping,Galactic Enterprises,C003,Referral,P002,Server Key,£150.00,4,£600.00,7%,£558.00,20%,£111.60,£669.60,£80.00,£320.00, £-   , £-   ,0%, £-   ,£238.00,42.70%,£238.00,42.70%,0.00%
02/04/2025,723,Mark,Manchester,Shipping,Nova Innovations,C018,Website,P006,Monitor Stand,£40.00,3,£120.00,3%,£116.40,20%,£23.28,£139.68,£24.00,£72.00,£7.00,£21.00,20%,£4.20,£44.40,38.10%,£23.40,20.10%,18.00%
02/05/2025,163,Lucas,Bristol,Shipping,Mercury Industries,C023,Social Media Outreach,P009,Ergonomic Chair,£190.00,9,"£1,710.00",5%,"£1,624.50",20%,£324.90,"£1,949.40",£115.00,"£1,035.00",£45.00,£405.00,20%,£81.00,£589.50,36.30%,£184.50,11.40%,24.90%
02/05/2025,625,Sarah,Manchester,Paid,Starlight Industries,C002,SEO,P005,Software License,£200.00,9,"£1,800.00",12%,"£1,584.00",20%,£316.80,"£1,900.80",£110.00,£990.00, £-   , £-   ,0%, £-   ,£594.00,37.50%,£594.00,37.50%,0.00%
02/05/2025,894,Dave,Liverpool,Pending,Solar Solutions,C011,SEO,P002,Server Key,£150.00,14,"£2,100.00",4%,"£2,016.00",20%,£403.20,"£2,419.20",£80.00,"£1,120.00", £-   , £-   ,0%, £-   ,£896.00,44.40%,£896.00,44.40%,0.00%
02/07/2025,622,Sarah,Leeds,Paid,AstroTech,C017,SEO,P009,Ergonomic Chair,£190.00,17,"£3,230.00",3%,"£3,133.10",20%,£626.62,"£3,759.72",£115.00,"£1,955.00",£45.00,£765.00,20%,£153.00,"£1,178.10",37.60%,£413.10,13.20%,24.40%
02/08/2025,567,Dave,Sheffield,Pending,Solar Solutions,C011,Website,P006,Monitor Stand,£40.00,10,£400.00,3%,£388.00,20%,£77.60,£465.60,£24.00,£240.00,£7.00,£70.00,20%,£14.00,£148.00,38.10%,£78.00,20.10%,18.00%
02/08/2025,580,Jack,Liverpool,Pending,Galactic Enterprises,C003,SEO,P002,Server Key,£150.00,6,£900.00,4%,£864.00,20%,£172.80,"£1,036.80",£80.00,£480.00, £-   , £-   ,0%, £-   ,£384.00,44.40%,£384.00,44.40%,0.00%
02/09/2025,468,Daniel,Bristol,Shipping,Sunrise Solutions,C004,Content Outreach,P008,Cable Management Tray,£20.00,1,£20.00,5%,£19.00,20%,£3.80,£22.80,£12.00,£12.00,£6.00,£6.00,20%,£1.20,£7.00,36.80%,£1.00,5.30%,31.50%
02/09/2025,496,Daniel,Brighton,Paid,Cosmos Creations,C020,Events Outreach,P006,Monitor Stand,£40.00,5,£200.00,7%,£186.00,20%,£37.20,£223.20,£24.00,£120.00,£7.00,£35.00,20%,£7.00,£66.00,35.50%,£31.00,16.70%,18.80%
02/10/2025,218,Lisa,Sheffield,Paid,Celestial Industries,C013,SEO,P008,Cable Management Tray,£20.00,9,£180.00,2%,£176.40,20%,£35.28,£211.68,£12.00,£108.00,£6.00,£54.00,20%,£10.80,£68.40,38.80%,£14.40,8.20%,30.60%
02/11/2025,87,Daniel,Liverpool,Shipping,Lunar Labs,C012,Referral,P009,Ergonomic Chair,£190.00,3,£570.00,10%,£513.00,20%,£102.60,£615.60,£115.00,£345.00,£45.00,£135.00,20%,£27.00,£168.00,32.70%,£33.00,6.40%,26.30%
02/11/2025,566,Lisa,Bristol,Pending,Mercury Industries,C023,SEO,P006,Monitor Stand,£40.00,11,£440.00,5%,£418.00,20%,£83.60,£501.60,£24.00,£264.00,£7.00,£77.00,20%,£15.40,£154.00,36.80%,£77.00,18.40%,18.40%
02/12/2025,555,Alexandra,Liverpool,Pending,Galactic Enterprises,C003,Website,P006,Monitor Stand,£40.00,17,£680.00,5%,£646.00,20%,£129.20,£775.20,£24.00,£408.00,£7.00,£119.00,20%,£23.80,£238.00,36.80%,£119.00,18.40%,18.40%
03/01/2025,31,Jack,Brighton,Shipping,Lunar Labs,C012,Social Media Outreach,P001,Laptop,£220.00,16,"£3,520.00",7%,"£3,273.60",20%,£654.72,"£3,928.32",£140.00,"£2,240.00",£15.00,£240.00,20%,£48.00,"£1,033.60",31.60%,£793.60,24.20%,7.40%
03/01/2025,95,Sarah,Birmingham,Shipping,Orion Enterprises,C015,Referral,P006,Monitor Stand,£40.00,18,£720.00,3%,£698.40,20%,£139.68,£838.08,£24.00,£432.00,£7.00,£126.00,20%,£25.20,£266.40,38.10%,£140.40,20.10%,18.00%
03/01/2025,481,Lisa,Nottingham,Pending,Nova Innovations,C018,Referral,P006,Monitor Stand,£40.00,9,£360.00,8%,£331.20,20%,£66.24,£397.44,£24.00,£216.00,£7.00,£63.00,20%,£12.60,£115.20,34.80%,£52.20,15.80%,19.00%
03/02/2025,245,Dave,Birmingham,Shipping,Stellar Systems,C006,Content Outreach,P009,Ergonomic Chair,£190.00,10,"£1,900.00",5%,"£1,805.00",20%,£361.00,"£2,166.00",£115.00,"£1,150.00",£45.00,£450.00,20%,£90.00,£655.00,36.30%,£205.00,11.40%,24.90%
03/02/2025,282,Daniel,Bristol,Paid,Solar Solutions,C011,Content Outreach,P009,Ergonomic Chair,£190.00,20,"£3,800.00",5%,"£3,610.00",20%,£722.00,"£4,332.00",£115.00,"£2,300.00",£45.00,£900.00,20%,£180.00,"£1,310.00",36.30%,£410.00,11.40%,24.90%
03/02/2025,343,Lucas,Nottingham,Pending,Supernova Solutions,C014,Referral,P010,Standing Desk,£530.00,10,"£5,300.00",3%,"£5,141.00",20%,"£1,028.20","£6,169.20",£360.00,"£3,600.00",£60.00,£600.00,20%,£120.00,"£1,541.00",30.00%,£941.00,18.30%,11.70%
03/03/2025,17,Lisa,Sheffield,Shipping,Celestial Industries,C013,Referral,P006,Monitor Stand,£40.00,17,£680.00,7%,£632.40,20%,£126.48,£758.88,£24.00,£408.00,£7.00,£119.00,20%,£23.80,£224.40,35.50%,£105.40,16.70%,18.80%
03/03/2025,719,Lucas,London,Shipping,Nova Innovations,C018,SEO,P004,Data Storage Device,£70.00,19,"£1,330.00",8%,"£1,223.60",20%,£244.72,"£1,468.32",£30.00,£570.00,£8.00,£152.00,20%,£30.40,£653.60,53.40%,£501.60,41.00%,12.40%
03/03/2025,900,Mark,Sheffield,Pending,Mercury Industries,C023,SEO,P010,Standing Desk,£530.00,11,"£5,830.00",2%,"£5,713.40",20%,"£1,142.68","£6,856.08",£360.00,"£3,960.00",£60.00,£660.00,20%,£132.00,"£1,753.40",30.70%,"£1,093.40",19.10%,11.60%
03/04/2025,1,Alexandra,Liverpool,Paid,Supernova Solutions,C014,SEO,P006,Monitor Stand,£40.00,18,£720.00,2%,£705.60,20%,£141.12,£846.72,£24.00,£432.00,£7.00,£126.00,20%,£25.20,£273.60,38.80%,£147.60,20.90%,17.90%
03/04/2025,150,Jack,Birmingham,Pending,Cosmic Creations,C008,Referral,P007,Keyboard Tray,£25.00,13,£325.00,4%,£312.00,20%,£62.40,£374.40,£14.00,£182.00,£7.00,£91.00,20%,£18.20,£130.00,41.70%,£39.00,12.50%,29.20%
03/04/2025,536,Lisa,Leeds,Shipping,Venus Ventures,C024,Content Outreach,P010,Standing Desk,£530.00,12,"£6,360.00",3%,"£6,169.20",20%,"£1,233.84","£7,403.04",£360.00,"£4,320.00",£60.00,£720.00,20%,£144.00,"£1,849.20",30.00%,"£1,129.20",18.30%,11.70%
03/04/2025,568,Daniel,Birmingham,Shipping,Planetary Partners,C021,Referral,P006,Monitor Stand,£40.00,14,£560.00,3%,£543.20,20%,£108.64,£651.84,£24.00,£336.00,£7.00,£98.00,20%,£19.60,£207.20,38.10%,£109.20,20.10%,18.00%
03/04/2025,677,Sarah,Sheffield,Paid,Lunar Labs,C012,Referral,P008,Cable Management Tray,£20.00,12,£240.00,4%,£230.40,20%,£46.08,£276.48,£12.00,£144.00,£6.00,£72.00,20%,£14.40,£86.40,37.50%,£14.40,6.20%,31.30%
03/04/2025,720,Mark,Newcastle,Shipping,Saturn Solutions,C022,Content Outreach,P001,Laptop,£220.00,11,"£2,420.00",10%,"£2,178.00",20%,£435.60,"£2,613.60",£140.00,"£1,540.00",£15.00,£165.00,20%,£33.00,£638.00,29.30%,£473.00,21.70%,7.60%
03/04/2025,722,Jack,Newcastle,Paid,Venus Ventures,C024,Content Outreach,P003,Network Switch,£130.00,18,"£2,340.00",3%,"£2,269.80",20%,£453.96,"£2,723.76",£72.00,"£1,296.00",£8.00,£144.00,20%,£28.80,£973.80,42.90%,£829.80,36.60%,6.30%
03/05/2025,161,Dave,Newcastle,Pending,Stellar Systems,C006,Content Outreach,P003,Network Switch,£130.00,3,£390.00,8%,£358.80,20%,£71.76,£430.56,£72.00,£216.00,£8.00,£24.00,20%,£4.80,£142.80,39.80%,£118.80,33.10%,6.70%
03/05/2025,223,Mark,Liverpool,Pending,Solar Solutions,C011,Events Outreach,P008,Cable Management Tray,£20.00,19,£380.00,8%,£349.60,20%,£69.92,£419.52,£12.00,£228.00,£6.00,£114.00,20%,£22.80,£121.60,34.80%,£7.60,2.20%,32.60%
03/05/2025,290,Sarah,Leeds,Paid,Lunar Labs,C012,Referral,P008,Cable Management Tray,£20.00,10,£200.00,2%,£196.00,20%,£39.20,£235.20,£12.00,£120.00,£6.00,£60.00,20%,£12.00,£76.00,38.80%,£16.00,8.20%,30.60%
03/05/2025,522,Lucas,Bristol,Paid,Nova Innovations,C018,SEO,P007,Keyboard Tray,£25.00,15,£375.00,4%,£360.00,20%,£72.00,£432.00,£14.00,£210.00,£7.00,£105.00,20%,£21.00,£150.00,41.70%,£45.00,12.50%,29.20%
03/05/2025,798,Sarah,Liverpool,Paid,Interstellar Enterprises,C019,SEO,P004,Data Storage Device,£70.00,5,£350.00,9%,£318.50,20%,£63.70,£382.20,£30.00,£150.00,£8.00,£40.00,20%,£8.00,£168.50,52.90%,£128.50,40.30%,12.60%
03/05/2025,823,Lisa,Birmingham,Shipping,Planetary Partners,C021,Website,P008,Cable Management Tray,£20.00,20,£400.00,7%,£372.00,20%,£74.40,£446.40,£12.00,£240.00,£6.00,£120.00,20%,£24.00,£132.00,35.50%,£12.00,3.20%,32.30%
03/06/2025,164,Lucas,Newcastle,Shipping,Comet Corporation,C016,Social Media Outreach,P010,Standing Desk,£530.00,20,"£10,600.00",3%,"£10,282.00",20%,"£2,056.40","£12,338.40",£360.00,"£7,200.00",£60.00,"£1,200.00",20%,£240.00,"£3,082.00",30.00%,"£1,882.00",18.30%,11.70%
03/06/2025,337,Daniel,Leeds,Paid,Aurora Enterprises,C010,Content Outreach,P004,Data Storage Device,£70.00,14,£980.00,3%,£950.60,20%,£190.12,"£1,140.72",£30.00,£420.00,£8.00,£112.00,20%,£22.40,£530.60,55.80%,£418.60,44.00%,11.80%
03/06/2025,426,Dave,Nottingham,Shipping,Celestial Industries,C013,Referral,P006,Monitor Stand,£40.00,17,£680.00,9%,£618.80,20%,£123.76,£742.56,£24.00,£408.00,£7.00,£119.00,20%,£23.80,£210.80,34.10%,£91.80,14.80%,19.30%
03/06/2025,588,Dave,Bristol,Shipping,Galactic Enterprises,C003,Content Outreach,P006,Monitor Stand,£40.00,1,£40.00,6%,£37.60,20%,£7.52,£45.12,£24.00,£24.00,£7.00,£7.00,20%,£1.40,£13.60,36.20%,£6.60,17.60%,18.60%
03/06/2025,830,Alexandra,Nottingham,Shipping,Saturn Solutions,C022,Referral,P005,Software License,£200.00,9,"£1,800.00",2%,"£1,764.00",20%,£352.80,"£2,116.80",£110.00,£990.00, £-   , £-   ,0%, £-   ,£774.00,43.90%,£774.00,43.90%,0.00%
03/06/2025,877,Sarah,Birmingham,Paid,Cosmic Creations,C008,SEO,P008,Cable Management Tray,£20.00,20,£400.00,3%,£388.00,20%,£77.60,£465.60,£12.00,£240.00,£6.00,£120.00,20%,£24.00,£148.00,38.10%,£28.00,7.20%,30.90%
03/07/2025,418,Lisa,London,Shipping,Galactic Enterprises,C003,Referral,P003,Network Switch,£130.00,20,"£2,600.00",7%,"£2,418.00",20%,£483.60,"£2,901.60",£72.00,"£1,440.00",£8.00,£160.00,20%,£32.00,£978.00,40.40%,£818.00,33.80%,6.60%
03/08/2025,209,Jack,Manchester,Shipping,Mercury Industries,C023,Referral,P006,Monitor Stand,£40.00,13,£520.00,9%,£473.20,20%,£94.64,£567.84,£24.00,£312.00,£7.00,£91.00,20%,£18.20,£161.20,34.10%,£70.20,14.80%,19.30%
03/08/2025,686,Jack,Manchester,Pending,Planetary Partners,C021,Referral,P004,Data Storage Device,£70.00,7,£490.00,10%,£441.00,20%,£88.20,£529.20,£30.00,£210.00,£8.00,£56.00,20%,£11.20,£231.00,52.40%,£175.00,39.70%,12.70%
03/10/2025,4,Alexandra,Newcastle,Pending,Infinity Innovations,C009,SEO,P006,Monitor Stand,£40.00,9,£360.00,10%,£324.00,20%,£64.80,£388.80,£24.00,£216.00,£7.00,£63.00,20%,£12.60,£108.00,33.30%,£45.00,13.90%,19.40%
03/10/2025,793,Dave,Birmingham,Shipping,AstroTech,C017,SEO,P001,Laptop,£220.00,16,"£3,520.00",8%,"£3,238.40",20%,£647.68,"£3,886.08",£140.00,"£2,240.00",£15.00,£240.00,20%,£48.00,£998.40,30.80%,£758.40,23.40%,7.40%
03/11/2025,10,Dave,Liverpool,Shipping,Nebula Technologies,C007,Content Outreach,P006,Monitor Stand,£40.00,18,£720.00,3%,£698.40,20%,£139.68,£838.08,£24.00,£432.00,£7.00,£126.00,20%,£25.20,£266.40,38.10%,£140.40,20.10%,18.00%
03/11/2025,319,Lisa,London,Pending,Starlight Industries,C002,Events Outreach,P003,Network Switch,£130.00,20,"£2,600.00",3%,"£2,522.00",20%,£504.40,"£3,026.40",£72.00,"£1,440.00",£8.00,£160.00,20%,£32.00,"£1,082.00",42.90%,£922.00,36.60%,6.30%
03/11/2025,364,Sarah,Leeds,Paid,AstroTech,C017,SEO,P003,Network Switch,£130.00,2,£260.00,9%,£236.60,20%,£47.32,£283.92,£72.00,£144.00,£8.00,£16.00,20%,£3.20,£92.60,39.10%,£76.60,32.40%,6.70%
03/11/2025,652,Sarah,Birmingham,Pending,Mercury Industries,C023,SEO,P002,Server Key,£150.00,19,"£2,850.00",2%,"£2,793.00",20%,£558.60,"£3,351.60",£80.00,"£1,520.00", £-   , £-   ,0%, £-   ,"£1,273.00",45.60%,"£1,273.00",45.60%,0.00%
03/11/2025,904,Dave,Nottingham,Paid,Nebula Technologies,C007,Events Outreach,P004,Data Storage Device,£70.00,2,£140.00,12%,£123.20,20%,£24.64,£147.84,£30.00,£60.00,£8.00,£16.00,20%,£3.20,£63.20,51.30%,£47.20,38.30%,13.00%
03/12/2025,264,Dave,Birmingham,Paid,Starlight Industries,C002,Social Media Outreach,P003,Network Switch,£130.00,6,£780.00,8%,£717.60,20%,£143.52,£861.12,£72.00,£432.00,£8.00,£48.00,20%,£9.60,£285.60,39.80%,£237.60,33.10%,6.70%
04/01/2025,413,Lucas,Brighton,Paid,Venus Ventures,C024,Content Outreach,P004,Data Storage Device,£70.00,16,"£1,120.00",3%,"£1,086.40",20%,£217.28,"£1,303.68",£30.00,£480.00,£8.00,£128.00,20%,£25.60,£606.40,55.80%,£478.40,44.00%,11.80%
04/02/2025,616,Alexandra,Bristol,Shipping,AstroTech,C017,Referral,P006,Monitor Stand,£40.00,19,£760.00,3%,£737.20,20%,£147.44,£884.64,£24.00,£456.00,£7.00,£133.00,20%,£26.60,£281.20,38.10%,£148.20,20.10%,18.00%
04/02/2025,631,Jack,Liverpool,Paid,Acme Corporation,C001,Referral,P004,Data Storage Device,£70.00,8,£560.00,2%,£548.80,20%,£109.76,£658.56,£30.00,£240.00,£8.00,£64.00,20%,£12.80,£308.80,56.30%,£244.80,44.60%,11.70%
04/02/2025,694,Alexandra,Leeds,Shipping,Mars Enterprises,C025,Website,P004,Data Storage Device,£70.00,10,£700.00,1%,£693.00,20%,£138.60,£831.60,£30.00,£300.00,£8.00,£80.00,20%,£16.00,£393.00,56.70%,£313.00,45.20%,11.50%
04/02/2025,759,Dave,London,Shipping,AstroTech,C017,Social Media Outreach,P004,Data Storage Device,£70.00,18,"£1,260.00",7%,"£1,171.80",20%,£234.36,"£1,406.16",£30.00,£540.00,£8.00,£144.00,20%,£28.80,£631.80,53.90%,£487.80,41.60%,12.30%
04/03/2025,569,Sarah,Manchester,Paid,Stellar Systems,C006,Website,P009,Ergonomic Chair,£190.00,12,"£2,280.00",2%,"£2,234.40",20%,£446.88,"£2,681.28",£115.00,"£1,380.00",£45.00,£540.00,20%,£108.00,£854.40,38.20%,£314.40,14.10%,24.10%
04/03/2025,871,Sarah,Birmingham,Pending,Saturn Solutions,C022,Referral,P007,Keyboard Tray,£25.00,16,£400.00,5%,£380.00,20%,£76.00,£456.00,£14.00,£224.00,£7.00,£112.00,20%,£22.40,£156.00,41.10%,£44.00,11.60%,29.50%
04/05/2025,210,Daniel,Brighton,Shipping,Orion Enterprises,C015,Referral,P001,Laptop,£220.00,15,"£3,300.00",2%,"£3,234.00",20%,£646.80,"£3,880.80",£140.00,"£2,100.00",£15.00,£225.00,20%,£45.00,"£1,134.00",35.10%,£909.00,28.10%,7.00%
04/05/2025,271,Lisa,Liverpool,Paid,Cosmic Creations,C008,SEO,P007,Keyboard Tray,£25.00,2,£50.00,9%,£45.50,20%,£9.10,£54.60,£14.00,£28.00,£7.00,£14.00,20%,£2.80,£17.50,38.50%,£3.50,7.70%,30.80%
